YEAR,LocationAbbr,TopicDesc,MeasureDesc,Smoke_Rate,Data_Value_Std_Err,Sample_Size,Gender,Education,GeoLocation
2003,ID,Cigarette Use (Youth),Smoking Status,31.2,2.1,755,Female,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,2.7,0.9,801,Female,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,0.3,0.2,801,Female,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,8,1,797,Female,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,0.8,0.3,816,Male,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,2.6,0.5,816,Male,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,15.3,0.9,819,Male,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,2.7,0.6,1623,Overall,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,0.6,0.1,1623,Overall,Middle School,"(43.682630005, -114.363730042)"
2003,ID,Smokeless Tobacco Use (Youth),User Status,11.9,0.8,1622,Overall,Middle School,"(43.682630005, -114.363730042)"
2003,MI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,59.5,2.9,402,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,55.6,3.1,291,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,42.6,4.5,114,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,42.5,3.9,227,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,57.6,2,699,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,42.4,4.5,113,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,61.9,2.3,454,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,55.7,2.2,794,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,48.2,3.6,336,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,47.3,4.4,118,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,49,3.5,241,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,50.6,6.1,123,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,1.5,0.4,1863,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,6.9,0.9,2023,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,13.9,0.7,3457,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,23.3,2.1,1862,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,58.4,1.6,3307,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,29.9,1.7,1799,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,56.5,1.5,1569,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,7.6,1,1863,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,1.8,0.4,3892,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,13.3,0.9,1635,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,23.8,2,3651,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,14.5,1,1799,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,24.4,2.2,1783,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,2.2,0.5,2023,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,28.3,1.2,3457,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,60.2,2.2,1727,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,7.2,0.9,3892,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Cigarette Use (Youth),Smoking Status,26.3,1.4,1635,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,4.3,1.4,1829,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,0.4,0.1,3989,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,0.2,0.1,1899,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,0.7,0.2,2082,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,5.1,3.1,3989,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,12.8,3.3,2054,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,4.4,3.1,1899,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,11,3.3,3938,Overall,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,10.5,1.9,1799,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,1.9,0.4,3523,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,8.5,1.5,3523,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,2.8,0.6,1668,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,11.8,1.5,1668,Male,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,0.7,0.3,1829,Female,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,9.1,3.5,1878,Female,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,18.9,2,3409,Overall,High School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,5.7,3,2082,Male,Middle School,"(44.661319543001, -84.71439027)"
2003,MI,Smokeless Tobacco Use (Youth),User Status,27,2.3,1598,Male,High School,"(44.661319543001, -84.71439027)"
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,56.4,3.7,273,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,43.1,6.8,94,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,58.5,4.7,136,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,53.8,5.3,135,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,40.8,10,51,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,64.9,3.1,158,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,55.1,11.9,55,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,52.6,3.3,141,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,58.7,2.2,302,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,56.5,6.4,104,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,8.3,1.3,730,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,24.5,1.8,1366,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,4.6,1.3,697,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,63.1,2.1,652,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,61.5,1.6,1374,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,9.2,1.3,697,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,24.4,2.6,650,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,13.5,1.6,1366,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,3.4,0.9,1433,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,8.8,1.1,1433,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,34,2.3,1421,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,12.5,1.9,650,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,35.7,2,693,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,59.9,2.1,713,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,24.1,1.8,708,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,32,3,723,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,2.2,0.8,730,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Cigarette Use (Youth),Smoking Status,14.3,1.9,708,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,30.2,2.1,653,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,1.4,0.5,661,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,0.4,0.3,732,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,0.6,0.3,749,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,19.5,2.1,704,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,9.1,1.5,661,Male,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,0,0,749,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,4.6,0.9,720,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,14.1,1.5,1452,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,0.1,0.1,1475,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,2.6,0.6,1475,Overall,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,20.3,1.5,1373,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,6,1,1401,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,8.6,1.3,742,Female,Middle School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,2.7,0.7,732,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,1,0.3,1401,Overall,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,10.3,1.3,712,Female,High School,"(38.635790776, -92.566300053)"
2003,MO,Smokeless Tobacco Use (Youth),User Status,0.1,0.1,720,Male,Middle School,"(38.635790776, -92.566300053)"
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,51.7,1.3,1829,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,50.1,2.5,869,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,48.7,3.3,463,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,51.5,4,401,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,49.7,1.8,938,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,54.2,2.1,882,Female,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,39,1.5,5479,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,60.7,0.9,10134,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,10.1,0.5,10266,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,2.9,0.3,5573,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,1.6,0.3,5969,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,20.6,1,5432,Female,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,23.4,0.8,10266,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,2.3,0.2,11576,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,9.1,0.6,5432,Female,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,26,1,4791,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,36.3,1.3,11430,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,12,0.7,5573,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,64.2,0.9,4706,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,57.4,1.3,5395,Female,High School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,11,0.6,11576,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,9.8,0.7,5969,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,33.6,1.4,5926,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Cigarette Use (Youth),Smoking Status,11,0.7,4791,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,6.4,0.5,11754,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,14.1,0.9,11746,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,1.2,0.2,11754,Overall,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,10.4,0.7,10328,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,10,0.6,5469,Female,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,35.3,1.6,4779,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,3.9,0.3,10328,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,2.1,0.4,5660,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,7.4,0.6,4831,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,9.8,1,5660,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,22.2,0.9,10282,Overall,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,18.2,1.2,4831,Male,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,20,1.6,5639,Male,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,0.5,0.1,5455,Female,High School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,2.8,0.3,6059,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,0.4,0.1,6059,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,8.1,0.5,6071,Female,Middle School,"(32.745510099, -89.538030825)"
2003,MS,Smokeless Tobacco Use (Youth),User Status,2.8,0.4,5455,Female,High School,"(32.745510099, -89.538030825)"
2003,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,45.3,3.5,135,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,51.2,5.3,60,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,57.6,2.8,340,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,40.1,6.2,69,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,53.7,3.8,147,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,61.3,4.4,193,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,55,4.6,168,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,60.1,9.5,85,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,49.5,6.4,155,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,57.3,3,384,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,32.3,4.8,67,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,60.4,4,214,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,26.3,1.8,1638,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,9.2,1.8,850,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,26.3,2.4,878,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,12.4,3,818,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,12,1.3,878,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,56.7,2.7,874,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,3.6,0.9,818,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,34.3,3.3,1647,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,11.2,1.1,756,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,33.1,3.2,826,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,3.3,0.6,1684,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,3.2,0.7,850,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,11.5,1,1638,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,12.5,2.9,1684,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,58.4,2.2,1616,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,60,2.4,740,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,25.9,2.1,756,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Cigarette Use (Youth),Smoking Status,35.8,4,817,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,3.1,0.6,1658,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,39.5,2.6,761,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,1.7,0.4,889,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,17.7,1.9,766,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,2.6,1.3,865,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,27,1.7,1646,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,5.7,1.1,766,Male,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,9.1,2.6,865,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,21.7,3,873,Male,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,0.2,0.2,889,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,7.8,2.5,1730,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,16.3,2.2,1729,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,13.4,1.5,882,Female,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,10,1,1658,Overall,High School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,1.6,0.7,1730,Overall,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,2.2,0.7,848,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,7.5,1.3,841,Female,Middle School,"(47.475319779, -100.118421049)"
2003,ND,Smokeless Tobacco Use (Youth),User Status,0.7,0.5,848,Female,Middle School,"(47.475319779, -100.118421049)"
2003,RI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,60.9,3,165,Female,High School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,45.6,5.8,73,Male,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,57.8,3.2,289,Overall,High School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,55.1,3.6,127,Overall,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,69.1,5.5,53,Female,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Percent of Current Smokers Who Want to Quit,54.9,4.6,120,Male,High School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,58.1,3.2,264,Overall,High School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,40.6,7.8,63,Male,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,Female,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,56.1,4.7,145,Female,High School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,61.2,5.6,117,Male,High School,"(41.708280193, -71.522470314)"
2003,RI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,46.1,5,107,Overall,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,6.8,0.8,2333,Overall,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,8.4,1,2061,Overall,High School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,21.5,1.2,1135,Female,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,47.5,2.3,950,Male,High School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,2.4,0.6,1145,Male,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,22.6,1.4,2224,Overall,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,6.4,0.8,1181,Female,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,52.5,2.2,1040,Female,High School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,7.1,1.2,1145,Male,Middle School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,16.4,1.7,990,Male,High School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,8.9,1.4,990,Male,High School,"(41.708280193, -71.522470314)"
2003,RI,Cigarette Use (Youth),Smoking Status,18.2,1.5,1060,Female,High School,"(41.708280193, -71.522470314)"
